vendor,product,version,cve_number,severity,score,source,cvss_version,cvss_vector,paths,remarks,comments
ijg,libjpeg,9c-2,CVE-2020-14152,HIGH,7.1,NVD,3,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:H,,NewFound,
jpeg,libjpeg,9c-2,CVE-2021-39514,MEDIUM,6.5,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,,NewFound,
jpeg,libjpeg,9c-2,CVE-2021-39515,MEDIUM,6.5,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,,NewFound,
jpeg,libjpeg,9c-2,CVE-2021-39516,MEDIUM,6.5,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,,NewFound,
jpeg,libjpeg,9c-2,CVE-2021-39517,MEDIUM,6.5,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,,NewFound,
jpeg,libjpeg,9c-2,CVE-2021-39518,MEDIUM,6.5,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,,NewFound,
jpeg,libjpeg,9c-2,CVE-2021-39519,MEDIUM,6.5,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,,NewFound,
jpeg,libjpeg,9c-2,CVE-2021-39520,MEDIUM,6.5,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,,NewFound,
busybox,busybox,1.31.0-1,CVE-2018-1000500,HIGH,8.1,NVD,3,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,,NewFound,
busybox,busybox,1.31.0-1,CVE-2021-42374,MEDIUM,5.3,NVD,3,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:L/I:N/A:H,,NewFound,
busybox,busybox,1.31.0-1,CVE-2021-42376,MEDIUM,5.5,NVD,3,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,,NewFound,
busybox,busybox,1.31.0-1,CVE-2021-42378,HIGH,7.2,NVD,3,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,,NewFound,
busybox,busybox,1.31.0-1,CVE-2021-42379,HIGH,7.2,NVD,3,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,,NewFound,
busybox,busybox,1.31.0-1,CVE-2021-42380,HIGH,7.2,NVD,3,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,,NewFound,
busybox,busybox,1.31.0-1,CVE-2021-42381,HIGH,7.2,NVD,3,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,,NewFound,
busybox,busybox,1.31.0-1,CVE-2021-42382,HIGH,7.2,NVD,3,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,,NewFound,
busybox,busybox,1.31.0-1,CVE-2021-42384,HIGH,7.2,NVD,3,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,,NewFound,
busybox,busybox,1.31.0-1,CVE-2021-42385,HIGH,7.2,NVD,3,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,,NewFound,
busybox,busybox,1.31.0-1,CVE-2021-42386,HIGH,7.2,NVD,3,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,,NewFound,
busybox,busybox,1.31.0-1,CVE-2022-28391,HIGH,8.8,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,,NewFound,
busybox,busybox,1.31.0-1,CVE-2022-48174,CRITICAL,9.8,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,,NewFound,
unknown,busybox,1.31.0-1,CVE-2021-28831,HIGH,7.5,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
unknown,busybox,1.31.0-1,CVE-2021-42374,MEDIUM,5.3,NVD,3,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:L/I:N/A:H,,NewFound,
unknown,busybox,1.31.0-1,CVE-2021-42375,MEDIUM,5.5,NVD,3,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,,NewFound,
unknown,busybox,1.31.0-1,CVE-2021-42378,HIGH,7.2,NVD,3,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,,NewFound,
unknown,busybox,1.31.0-1,CVE-2021-42379,HIGH,7.2,NVD,3,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,,NewFound,
unknown,busybox,1.31.0-1,CVE-2021-42380,HIGH,7.2,NVD,3,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,,NewFound,
unknown,busybox,1.31.0-1,CVE-2021-42381,HIGH,7.2,NVD,3,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,,NewFound,
unknown,busybox,1.31.0-1,CVE-2021-42382,HIGH,7.2,NVD,3,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,,NewFound,
unknown,busybox,1.31.0-1,CVE-2021-42383,HIGH,7.2,NVD,3,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,,NewFound,
unknown,busybox,1.31.0-1,CVE-2021-42384,HIGH,7.2,NVD,3,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,,NewFound,
unknown,busybox,1.31.0-1,CVE-2021-42385,HIGH,7.2,NVD,3,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,,NewFound,
unknown,busybox,1.31.0-1,CVE-2021-42386,HIGH,7.2,NVD,3,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,,NewFound,
unknown,busybox,1.31.0-1,CVE-2022-28391,HIGH,8.8,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,,NewFound,
unknown,busybox,1.31.0-1,CVE-2022-30065,HIGH,7.8,NVD,3,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,,NewFound,
unknown,busybox,1.31.0-1,CVE-2022-48174,CRITICAL,9.8,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,,NewFound,
unknown,busybox,1.31.0-1,CVE-2023-42363,MEDIUM,5.5,NVD,3,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,,NewFound,
unknown,busybox,1.31.0-1,CVE-2023-42364,MEDIUM,5.5,NVD,3,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,,NewFound,
unknown,busybox,1.31.0-1,CVE-2023-42365,MEDIUM,5.5,NVD,3,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,,NewFound,
unknown,busybox,1.31.0-1,CVE-2023-42366,MEDIUM,5.5,NVD,3,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,,NewFound,
zoom,chat,2.4.7.git-2019-10-04-2,CVE-2021-30480,HIGH,8.8,NVD,3,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,,NewFound,
xen,xapi,1.0,CVE-2020-29487,HIGH,7.5,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
xen,xapi,1.0,CVE-2022-33749,MEDIUM,5.3,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,,NewFound,
libcap_project,libcap,2.27-2,CVE-2023-2603,HIGH,7.8,NVD,3,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,,NewFound,
unknown,libcap,2.27-2,CVE-2023-2602,LOW,3.3,NVD,3,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:L,,NewFound,
